Local ,Ambiente,Measuring point,Date,Time,CO2 [ppm/min],T_i [°C],P_i [hPa],rH_i [%],SM [%],ST [°C],rH_o [%],T_o [°C],P_o [hPa],PAR [µmol m-2 s-1],F_CO2 [µmol m-2 s-1],V_ch [m3],A_ch [m2],start [s],end [s]
B do Acre,ARL,Anel1rep1,7/11/2019,16:56:34,27.42194047,26.45571816,994.432915,84.64984047,24.49977743,26.73107712,81.14142798,26.76128076,994.3747609,191.1985289,5.897006725,0.01587,0.0491,61,360
B do Acre,ARL,Anel1rep2,7/11/2019,17:05:24,27.28962637,26.37795812,994.3414155,84.58082312,23.90813079,26.73518732,78.41708332,26.34685729,994.3292816,161.1207745,5.869536383,0.01587,0.0491,61,360
B do Acre,ARL,Anel1rep3,7/11/2019,17:14:18,26.87206131,26.30052649,994.134819,84.4752045,23.770367,26.73665109,78.16188172,26.42205403,994.1662475,133.9418899,5.78001855,0.01587,0.0491,61,360
B do Acre,ARL,Anel2rep1,7/11/2019,17:28:03,45.22191364,26.33770937,994.0942818,85.31395128,13.31753105,25.82445817,79.16310096,26.83034341,993.8970431,81.84065768,9.725357044,0.01587,0.0491,61,360
B do Acre,ARL,Anel2rep2,7/11/2019,17:37:23,10.24365757,26.17860074,994.0568366,84.87487654,13.82576807,25.72799541,79.35124771,26.80087912,993.9699695,79.94010022,2.204073636,0.01587,0.0491,61,360
B do Acre,ARL,Anel2rep3,7/11/2019,17:55:40,41.79584008,26.00641838,994.0721424,85.32312985,15.18098492,25.66453501,78.7172886,26.92491715,994.0716615,55.65042056,8.998304465,0.01587,0.0491,61,360
B do Acre,ARL,Anel3rep1,7/11/2019,18:08:48,33.22827511,26.01401732,994.3155081,85.37906495,7.90307105,25.63324974,79.5158384,26.63303929,994.0701258,3.608350275,7.155347013,0.01587,0.0491,61,360
B do Acre,ARL,Anel3rep2,7/11/2019,18:17:54,4.41229727,25.69642491,994.4388376,84.55436791,6.307963177,25.56297351,79.57246405,26.36550073,994.4304794,3.956005237,0.95126786,0.01587,0.0491,61,360
B do Acre,ARL,Anel3rep3,7/11/2019,18:27:52,31.7366154,25.55201747,994.5992058,85.11834989,6.942343237,25.52820417,78.72148805,26.23616429,994.491068,5.247910419,6.846657572,0.01587,0.0491,61,360
B do Acre,ARL,Anel4rep1,7/11/2019,18:43:56,21.78279741,25.50225513,994.6193211,85.59736736,13.61602102,26.45262577,79.18433587,25.91846621,994.6926121,4.677491251,4.70016162,0.01587,0.0491,61,360
B do Acre,ARL,Anel4rep2,7/11/2019,18:52:29,20.84629617,25.28520158,994.7008681,85.51256279,12.598398,26.31950944,79.344182,25.83444398,994.6779409,4.700509038,4.501729531,0.01587,0.0491,61,360
B do Acre,ARL,Anel4rep3,7/11/2019,19:00:21,20.60681487,25.28411842,994.7034381,85.67727619,12.86483727,26.26012683,79.30190809,25.7185946,994.7032123,4.057765617,4.450041517,0.01587,0.0491,61,360
